Alpha:0.330877,-1;0.315196,-0.816947;0.271025,-0.639849;0.211615,-0.46449;0.143592,-0.291786;0.0725078,-0.12035;-0.0157069,0.0417915;-0.131453,0.183673;-0.28231,0.280646;-0.411375,0.23327;-0.397634,0.0525931;-0.296447,-0.0643446;-0.200684,0.0679392;-0.10085,0.214818;0.0437091,0.309557;0.219605,0.296327;0.36214,0.186657;0.46624,0.0360546;0.5368,-0.133264;0.581779,-0.31002;
Alpha:0.496444,-1;0.461099,-0.786379;0.391128,-0.575436;0.293234,-0.372517;0.168041,-0.186687;0.0246368,-0.0147586;-0.143673,0.132158;-0.335239,0.245283;-0.537555,0.252158;-0.57321,0.060106;-0.461418,-0.120579;-0.296857,-0.244111;-0.198042,-0.0828739;-0.116824,0.119368;-0.00978401,0.312184;0.147835,0.455541;0.364617,0.468992;0.560809,0.376196;0.709517,0.213133;0.810209,0.0126059;
Alpha:0.304162,-0.860525;0.281159,-0.668164;0.235153,-0.479536;0.161285,-0.297845;0.0641479,-0.128982;-0.0633867,0.0188382;-0.224925,0.12862;-0.404738,0.181917;-0.518192,0.0799252;-0.489606,-0.101261;-0.354973,-0.204942;-0.235548,-0.0767094;-0.139097,0.0931905;-0.0231645,0.250296;0.13203,0.352878;0.326082,0.352878;0.507224,0.295371;0.68697,0.227608;0.856263,0.128585;1,-0.00366668;
Alpha:0.629953,-1;0.623176,-0.808581;0.589292,-0.62256;0.541923,-0.437728;0.461419,-0.263986;0.354288,-0.105347;0.229055,0.0379205;0.0871355,0.166287;-0.0706423,0.271248;-0.243617,0.355367;-0.42743,0.389252;-0.495002,0.239985;-0.472787,0.0534177;-0.397172,-0.115189;-0.241746,-0.159672;-0.118634,-0.0204936;-0.0137253,0.138751;0.0935549,0.293348;0.258169,0.340872;0.37921,0.206277;
Beta:-0.680088,1;-0.617364,0.830357;-0.571836,0.644265;-0.538669,0.456701;-0.515691,0.264625;-0.485637,0.0742195;-0.444088,-0.114582;-0.368425,-0.295068;-0.25005,-0.448017;-0.0904872,-0.546771;0.100754,-0.573288;0.29042,-0.546771;0.449821,-0.45099;0.504297,-0.281232;0.407932,-0.14903;0.309845,-0.067294;0.276576,0.0896145;0.152558,0.204518;5.82706e-05,0.27566;-0.0878959,0.39013;
Beta:-0.537738,1;-0.549567,0.759858;-0.549567,0.507886;-0.561397,0.260815;-0.561397,0.0088433;-0.523909,-0.234279;-0.449199,-0.466506;-0.3188,-0.673981;-0.123142,-0.809932;0.121137,-0.833592;0.343024,-0.750784;0.432291,-0.553432;0.349484,-0.34962;0.281714,-0.179755;0.432291,-0.0386619;0.372149,0.160097;0.274453,0.365254;0.188295,0.581538;0.0356634,0.704259;-0.13553,0.609622;
Beta:-0.345341,0.958375;-0.355527,0.877657;-0.339395,0.709745;-0.32272,0.539671;-0.309663,0.368468;-0.29777,0.197618;-0.291824,0.0258026;-0.285877,-0.146245;-0.259178,-0.314039;-0.177107,-0.460712;-0.0414011,-0.55235;0.124784,-0.563907;0.237255,-0.468764;0.207845,-0.320274;0.106586,-0.217304;0.157767,-0.120262;0.207675,0.0179124;0.171997,0.175914;0.0883853,0.310578;0.0173898,0.446984;
Beta:-0.206863,1;-0.217476,0.840943;-0.243044,0.683526;-0.265237,0.524528;-0.291771,0.366164;-0.3189,0.207505;-0.346971,0.0489989;-0.366066,-0.110572;-0.351471,-0.270972;-0.27982,-0.412937;-0.14477,-0.49306;0.0153642,-0.507121;0.174114,-0.491201;0.26544,-0.40171;0.180531,-0.304513;0.228292,-0.182603;0.244212,-0.0288534;0.204731,0.11377;0.111543,0.208905;0.000101219,0.288893;
Gamma:-0.872929,-0.544107;-0.641462,-0.35506;-0.420655,-0.151221;-0.205579,0.063855;-0.00907215,0.292777;0.138075,0.553135;0.196068,0.842097;0.005078,1;-0.239307,0.853085;-0.363883,0.585408;-0.39782,0.289256;-0.380244,-0.0114294;-0.316452,-0.304615;-0.185954,-0.569441;0.00941735,-0.743014;0.060322,-0.464906;0.179099,-0.216859;0.428278,-0.250303;0.638811,-0.452352;0.823891,-0.679852;
Gamma:-0.329643,-0.824905;-0.267462,-0.587243;-0.147214,-0.358193;-0.0425669,-0.0979707;0.0281989,0.172228;0.0523142,0.453241;-0.00710129,0.722629;-0.173838,0.94605;-0.41903,0.970028;-0.516377,0.723912;-0.516377,0.442994;-0.450558,0.172353;-0.333237,-0.0828606;-0.148766,-0.29148;0.0772863,-0.442948;0.188121,-0.350824;0.31506,-0.163226;0.56874,-0.220924;0.786342,-0.389809;0.994474,-0.578755;
Delta:0.526981,-0.939161;0.362615,-1;0.152192,-0.972864;0.00550158,-0.833876;-0.064029,-0.633272;-0.0814117,-0.41662;-0.0525889,-0.200843;0.00550158,0.00890243;0.0667601,0.217624;0.136053,0.425923;0.207338,0.631085;0.274066,0.833003;0.190921,0.88892;0.014173,0.773011;-0.145931,0.630289;-0.293704,0.473825;-0.402991,0.29743;-0.394447,0.095255;-0.238366,-0.0347521;-0.0987943,-0.130867;
