Alpha:0.299511,-1;0.294356,-0.817793;0.268583,-0.638014;0.21384,-0.464636;0.13802,-0.299032;0.0467012,-0.141404;-0.0523934,0.0123924;-0.171631,0.151554;-0.310617,0.269921;-0.475625,0.329897;-0.509767,0.191257;-0.41235,0.0417575;-0.250769,-0.0309278;-0.0705181,-0.027798;0.0764247,0.0641369;0.196343,0.198416;0.328274,0.322578;0.488751,0.406476;0.67055,0.414972;0.845903,0.365979;
Beta:-1,0.708367;-1,0.465184;-1,0.222001;-0.99333,-0.0196068;-0.931965,-0.248099;-0.770232,-0.421836;-0.548292,-0.509384;-0.311213,-0.545572;-0.0688513,-0.552241;0.172589,-0.538902;0.409835,-0.504308;0.634122,-0.444765;0.627452,-0.236551;0.694696,-0.0175596;0.834218,0.167392;0.691447,0.282846;0.452177,0.301504;0.218722,0.34339;0.00100884,0.434639;-0.219623,0.494931;
Gamma:-1,-0.611793;-0.785443,-0.462186;-0.571103,-0.304762;-0.352698,-0.153769;-0.141164,0.00854181;0.0692008,0.1719;0.270404,0.343821;0.436454,0.546474;0.362428,0.742538;0.106416,0.71375;-0.130124,0.594836;-0.337953,0.430931;-0.428985,0.189331;-0.357501,-0.0592946;-0.205457,-0.268213;-0.0236492,-0.453434;0.0981058,-0.367701;0.250012,-0.209154;0.472816,-0.326962;0.6618,-0.501982;
Delta:1,-0.642355;0.805861,-0.775036;0.57663,-0.844936;0.337226,-0.888188;0.0909167,-0.89587;-0.142139,-0.836933;-0.286535,-0.650532;-0.304875,-0.40855;-0.223562,-0.177895;-0.0985413,0.0337597;0.0495043,0.22785;0.215264,0.408974;0.370053,0.596693;0.290603,0.717409;0.0588219,0.65398;-0.173549,0.580047;-0.41109,0.530417;-0.58255,0.412514;-0.465913,0.239704;-0.305988,0.102826;
Epsilon:0.941269,-0.793803;0.747903,-0.877705;0.49377,-0.886095;0.251587,-0.81813;0.0198515,-0.710652;-0.199335,-0.580083;-0.403411,-0.427704;-0.535401,-0.228375;-0.410427,-0.0554683;-0.177091,-0.00512732;-0.388767,0.0200432;-0.588632,0.151536;-0.642652,0.384463;-0.474025,0.568048;-0.244479,0.681499;-0.000337609,0.749034;0.249451,0.790026;0.504627,0.800329;0.75876,0.791939;1,0.741598;
Alpha:0.648897,-0.965191;0.582034,-0.728198;0.453488,-0.502087;0.301994,-0.292038;0.129566,-0.0947563;-0.0502824,0.0954183;-0.25024,0.264154;-0.467521,0.408816;-0.697297,0.521833;-0.848453,0.4597;-0.73533,0.233628;-0.570127,0.0374674;-0.360517,-0.110675;-0.156574,-0.231362;0.00865105,-0.109863;0.122693,0.0885671;0.315446,0.20171;0.568268,0.191383;0.796667,0.0881176;1,-0.0667806;
Beta:-0.672235,1;-0.683382,0.732497;-0.681342,0.460857;-0.64901,0.195547;-0.583058,-0.0578558;-0.460062,-0.293821;-0.286249,-0.496536;-0.0495604,-0.616334;0.211048,-0.672069;0.475274,-0.705511;0.55769,-0.653516;0.353564,-0.505126;0.194027,-0.312147;0.230683,-0.0840758;0.440767,0.0301998;0.486893,0.163965;0.258241,0.253142;0.0316315,0.363017;-0.195641,0.476085;-0.449292,0.520673;
Gamma:-0.484603,-0.740255;-0.258285,-0.568119;-0.053213,-0.341374;0.108496,-0.0850463;0.194494,0.195315;0.187261,0.495174;0.0235795,0.734646;-0.245552,0.852714;-0.545881,0.845619;-0.77317,0.672511;-0.809699,0.382444;-0.654303,0.122982;-0.423019,-0.075792;-0.168474,-0.248128;0.0680594,-0.428275;0.208934,-0.448245;0.333372,-0.214865;0.623413,-0.165919;0.852167,-0.321509;1,-0.545197;
Delta:0.694106,-0.922835;0.482131,-1;0.240095,-0.965908;0.042347,-0.830526;-0.0679034,-0.619236;-0.0871948,-0.371988;-0.0389664,-0.131571;0.0752187,0.0883993;0.239405,0.277377;0.4291,0.432635;0.497621,0.591538;0.262359,0.639767;0.0133924,0.659058;-0.236286,0.639767;-0.46128,0.562601;-0.599399,0.388979;-0.565681,0.172976;-0.364119,0.0706711;-0.139125,-0.0064944;-0.000383635,-0.160825;
Epsilon:0.785985,-0.966611;0.510499,-0.961557;0.239476,-0.834607;-0.034055,-0.702121;-0.292531,-0.547261;-0.535408,-0.372868;-0.595571,-0.105294;-0.343836,0.0435381;-0.0482381,0.0949016;0.256832,0.103462;0.307319,0.00929571;0.00919502,0.021025;-0.268049,0.125405;-0.506664,0.300975;-0.447692,0.564782;-0.195047,0.730103;0.0939713,0.814688;0.391123,0.856794;0.69354,0.873915;1,0.873915;
Alpha:0.58225,-1;0.531627,-0.800397;0.447181,-0.60068;0.363468,-0.396615;0.273816,-0.195756;0.173133,0.000369265;0.0545867,0.185906;-0.0901912,0.353382;-0.258862,0.493073;-0.448432,0.581296;-0.598047,0.484678;-0.583833,0.272925;-0.482886,0.0861618;-0.341568,-0.0829843;-0.157833,-0.182871;0.0523552,-0.182871;0.185048,-0.061815;0.266077,0.119769;0.429034,0.210561;0.635212,0.157599;
Beta:-1,0.970912;-1,0.667255;-0.988425,0.366331;-0.942126,0.0736046;-0.841321,-0.202985;-0.675647,-0.453052;-0.428511,-0.622791;-0.143984,-0.707441;0.154038,-0.742166;0.454962,-0.753741;0.700744,-0.695867;0.629798,-0.427389;0.625558,-0.174998;0.85134,-0.0361001;0.693471,0.0796484;0.452526,0.236026;0.210049,0.394824;-0.049743,0.519493;-0.323962,0.600517;-0.606455,0.635241;
Gamma:-0.842809,-0.834959;-0.632806,-0.593655;-0.396287,-0.366629;-0.155293,-0.136539;0.0853559,0.0932056;0.314091,0.322996;0.422078,0.617777;0.205987,0.822478;-0.120161,0.855191;-0.444366,0.822478;-0.736948,0.699351;-0.818663,0.416686;-0.631507,0.1532;-0.373872,-0.0535292;-0.101384,-0.238823;0.150917,-0.44313;0.390523,-0.66165;0.552928,-0.765277;0.72033,-0.573258;1,-0.704109;
Delta:0.818683,-0.512918;0.720037,-0.767016;0.488792,-0.921405;0.216079,-1;-0.063555,-0.958546;-0.2991,-0.806033;-0.383476,-0.54207;-0.311569,-0.265469;-0.168301,-0.0100239;0.00623851,0.221924;0.193213,0.443554;0.376914,0.66201;0.40752,0.855056;0.128048,0.805097;-0.149466,0.751422;-0.414007,0.669073;-0.538928,0.444071;-0.435293,0.210251;-0.240656,0.0674345;-0.0518461,-0.0569268;
